Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5,,Channel,CH6
Label,,,Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,,
TIME,CH2,CH3,CH4,CH5,CH6
-5.96136000e-06,2.02500000e+00,1.00300000e+02,1.97125000e+01,1.83375000e+01,1.51500000e+00
-5.96104000e-06,2.57500000e+00,1.00750000e+02,1.96500000e+01,1.81875000e+01,1.51687500e+00
-5.96072000e-06,2.30000000e+00,1.00250000e+02,1.96000000e+01,1.83000000e+01,1.51875000e+00
-5.96040000e-06,2.81250000e+00,1.00700000e+02,1.96250000e+01,1.83375000e+01,1.52000000e+00
-5.96008000e-06,2.93750000e+00,1.00400000e+02,1.97000000e+01,1.82375000e+01,1.52093750e+00
-5.95976000e-06,2.46250000e+00,1.00650000e+02,1.96250000e+01,1.82875000e+01,1.52125000e+00
-5.95944000e-06,2.53750000e+00,1.00850000e+02,1.97250000e+01,1.83375000e+01,1.52093750e+00
-5.95912000e-06,2.33750000e+00,1.00300000e+02,1.96875000e+01,1.81875000e+01,1.52062500e+00
-5.95880000e-06,1.97500000e+00,1.00500000e+02,1.95750000e+01,1.81250000e+01,1.51968750e+00
-5.95848000e-06,2.17500000e+00,1.00150000e+02,1.95625000e+01,1.82875000e+01,1.51875000e+00
-5.95816000e-06,2.22500000e+00,1.00250000e+02,1.95750000e+01,1.83000000e+01,1.51843750e+00
-5.95784000e-06,2.12500000e+00,1.00850000e+02,1.97125000e+01,1.83250000e+01,1.51812500e+00
-5.95752000e-06,2.18750000e+00,1.00650000e+02,1.96125000e+01,1.83125000e+01,1.51875000e+00
-5.95720000e-06,2.38750000e+00,1.00900000e+02,1.95625000e+01,1.80875000e+01,1.51937500e+00
-5.95688000e-06,2.37500000e+00,1.00800000e+02,1.97000000e+01,1.82250000e+01,1.52031250e+00
-5.95656000e-06,2.22500000e+00,1.00050000e+02,1.97125000e+01,1.83125000e+01,1.52125000e+00
-5.95624000e-06,2.43750000e+00,1.00950000e+02,1.97125000e+01,1.82750000e+01,1.52187500e+00
-5.95592000e-06,2.03750000e+00,1.00900000e+02,1.97250000e+01,1.82875000e+01,1.52187500e+00
-5.95560000e-06,2.37500000e+00,1.00350000e+02,1.95750000e+01,1.82125000e+01,1.52125000e+00
