Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.75000000,,Zero Index,1874.75000000,,Zero Index,1874.75000000,,Zero Index,1874.75000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.34960000e-07,1.00000000e-01,9.68437500e+00,-4.12500000e-02,-2.18750000e-02
-5.34640000e-07,7.50000000e-02,9.52187500e+00,-1.12500000e-02,-6.48437500e-02
-5.34320000e-07,8.75000000e-02,9.48437500e+00,0.00000000e+00,-2.89062500e-02
-5.34000000e-07,-6.25000000e-02,9.55937500e+00,-1.43750000e-02,6.71875000e-02
-5.33680000e-07,-3.75000000e-02,9.50937500e+00,-2.87500000e-02,-2.50000000e-02
-5.33360000e-07,8.75000000e-02,9.58437500e+00,-3.37500000e-02,-1.10937500e-01
-5.33040000e-07,1.37500000e-01,9.69687500e+00,-1.18750000e-02,-1.14062500e-01
-5.32720000e-07,1.25000000e-02,9.68437500e+00,-5.37500000e-02,-8.35937500e-02
-5.32400000e-07,-2.50000000e-02,9.62187500e+00,-5.37500000e-02,-6.56250000e-02
-5.32080000e-07,5.00000000e-02,9.82187500e+00,6.25000000e-04,4.45312500e-02
-5.31760000e-07,1.62500000e-01,9.57187500e+00,6.25000000e-04,7.50000000e-02
-5.31440000e-07,-5.00000000e-02,9.50937500e+00,-7.50000000e-03,-1.25000000e-02
-5.31120000e-07,-1.25000000e-02,9.55937500e+00,-4.37500000e-02,-5.78125000e-02
-5.30800000e-07,1.25000000e-01,9.60937500e+00,-2.18750000e-02,-3.67187500e-02
-5.30480000e-07,-2.50000000e-02,9.65937500e+00,-3.12500000e-02,-3.82812500e-02
-5.30160000e-07,1.25000000e-02,9.69687500e+00,-2.81250000e-02,-1.25000000e-02
-5.29840000e-07,1.12500000e-01,9.58437500e+00,-3.06250000e-02,2.03125000e-02
-5.29520000e-07,1.00000000e-01,9.73437500e+00,-1.37500000e-02,-1.64062500e-02
-5.29200000e-07,-3.75000000e-02,9.50937500e+00,-2.18750000e-02,-1.03125000e-01
-5.28880000e-07,1.62500000e-01,9.52187500e+00,-9.37500000e-03,-5.54687500e-02
-5.28560000e-07,1.25000000e-01,9.59687500e+00,-4.12500000e-02,-3.82812500e-02
-5.28240000e-07,-6.25000000e-02,9.62187500e+00,-1.93750000e-02,-1.08593750e-01
-5.27920000e-07,0.00000000e+00,9.74687500e+00,-3.18750000e-02,-1.87500000e-01
-5.27600000e-07,3.75000000e-02,9.73437500e+00,-9.37500000e-03,-2.12500000e-01
-5.27280000e-07,8.75000000e-02,9.58437500e+00,-1.56250000e-02,-7.81250000e-02
-5.26960000e-07,6.25000000e-02,9.69687500e+00,-3.62500000e-02,-4.76562500e-02
-5.26640000e-07,6.25000000e-02,9.75937500e+00,-1.12500000e-02,-1.13281250e-01
-5.26320000e-07,1.00000000e-01,9.50937500e+00,-2.18750000e-02,-8.82812500e-02
-5.26000000e-07,6.25000000e-02,9.50937500e+00,-1.75000000e-02,-5.07812500e-02
-5.25680000e-07,1.00000000e-01,9.54687500e+00,-3.62500000e-02,-7.96875000e-02
-5.25360000e-07,1.25000000e-02,9.55937500e+00,1.25000000e-03,-9.21875000e-02
-5.25040000e-07,1.00000000e-01,9.60937500e+00,-1.50000000e-02,-8.98437500e-02
